reviews_per_month,(All),,,,
room_type,(All),,,,
,,,,,
neighbourhood_group,neighbourhood,Count of name,Average of price,Sum of number_of_reviews,Max of last_review
,Arrochar,21,$115.00,307,06-10-2019
,"Bay Terrace, Staten Island",2,$102.50,3,00-01-1900
,Bull's Head,6,$47.33,92,07-07-2019
,Castleton Corners,4,$139.75,101,00-01-1900
,Clifton,15,$84.93,708,06-03-2019
,Concord,26,$58.19,648,06-09-2019
,Dongan Hills,7,$79.43,158,06-09-2019
,Eltingville,3,$141.67,228,07-05-2019
,Emerson Hill,5,$68.20,56,07-03-2019
,Fort Wadsworth,1,$800.00,0,
,Graniteville,3,$68.67,123,06-01-2019
,Grant City,6,$57.67,161,07-04-2019
,Great Kills,10,$100.60,264,02-11-2019
,Grymes Hill,7,$159.14,74,11-04-2018
,Howland Hook,2,$100.00,41,05-12-2019
,Huguenot,3,$118.33,167,07-07-2019
,Lighthouse Hill,2,$157.50,78,01-03-2019
,Mariners Harbor,8,$94.63,173,06-11-2019
,Midland Beach,6,$91.83,37,06-10-2019
,New Brighton,5,$101.80,201,07-01-2019
,New Dorp,1,$57.00,0,
,New Dorp Beach,5,$57.40,74,06-07-2019
,New Springville,8,$76.00,235,07-05-2019
,Oakwood,5,$81.20,9,00-01-1900
,Port Richmond,9,$90.11,153,10-07-2015
,Prince's Bay,4,$409.50,23,08-07-2018
,Randall Manor,19,$336.00,342,07-07-2019
,Richmondtown,1,$78.00,79,00-01-1900
,Rosebank,7,$111.86,215,07-05-2019
,Rossville,1,$75.00,21,07-01-2019
,Shore Acres,7,$152.71,146,07-02-2019
,Silver Lake,2,$70.00,237,07-05-2019
,South Beach,8,$89.25,95,07-06-2019
,St. George,48,$118.15,1987,07-08-2019
,Stapleton,27,$98.96,1036,07-07-2019
,Todt Hill,4,$169.00,16,11-06-2015
,Tompkinsville,42,$76.19,2400,06-11-2019
,Tottenville,7,$144.86,139,07-08-2019
,West Brighton,18,$80.56,656,06-09-2019
,Westerleigh,2,$71.50,18,09-07-2018
,Willowbrook,1,$249.00,9,00-01-1900
,Woodrow,1,$700.00,0,
